Dato;Runde;Liga;Hjemmelag;Resultat;Bortelag;Kanal
06.04.2015;1. runde;Tippeligaen;Mjøndalen;1 - 0;Viking;C More Fotball
06.04.2015;1. runde;Tippeligaen;Rosenborg;5 - 0;Aalesund;C More Fotball
06.04.2015;1. runde;Tippeligaen;Stabæk;1 - 1;Haugesund;C More Live
06.04.2015;1. runde;Tippeligaen;Tromsø;0 - 1;Sarpsborg 08;C More Live 2
06.04.2015;1. runde;Tippeligaen;Sandefjord;3 - 1;Bodø/Glimt;C More Live 3
06.04.2015;1. runde;Tippeligaen;Vålerenga;3 - 1;Strømsgodset;TV 2
06.04.2015;1. runde;OBOS-ligaen;Fredrikstad;1 - 1;Brann;TV 2 Zebra
06.04.2015;1. runde;OBOS-ligaen;Follo;4 - 0;Hønefoss;C More Live
06.04.2015;1. runde;OBOS-ligaen;Strømmen;0 - 1;Hødd;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Bryne;2 - 1;Nest-Sotra;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Kristiansund BK;0 - 0;Ranheim;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Sandnes Ulf;2 - 2;Jerv;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Sogndal;3 - 1;Bærum;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Åsane;5 - 0;Levanger;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Fredrikstad;1 - 1;Brann;TV 2 Zebra
06.04.2015;1. runde;OBOS-ligaen;Follo;4 - 0;Hønefoss;C More Live
06.04.2015;1. runde;OBOS-ligaen;Strømmen;0 - 1;Hødd;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Bryne;2 - 1;Nest-Sotra;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Kristiansund BK;0 - 0;Ranheim;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Sandnes Ulf;2 - 2;Jerv;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Sogndal;3 - 1;Bærum;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Åsane;5 - 0;Levanger;C SPORTS
07.04.2015;1. runde;Tippeligaen;Molde;1 - 2;Odd;TV 2 Zebra
07.04.2015;1. runde;Tippeligaen;Lillestrøm;1 - 1;Start;C More Fotball
10.04.2015;2. runde;Tippeligaen;Sarpsborg 08;1 - 1;Vålerenga;TV 2 Zebra
11.04.2015;2. runde;Tippeligaen;Bodø/Glimt;1 - 3;Molde;C More Fotball
11.04.2015;2. runde;Tippeligaen;Strømsgodset;1 - 1;Mjøndalen;C More Fotball
12.04.2015;2. runde;Tippeligaen;Aalesund;1 - 1;Lillestrøm;C More Fotball
12.04.2015;2. runde;Tippeligaen;Haugesund;0 - 6;Rosenborg;TV 2
12.04.2015;2. runde;Tippeligaen;Odd;2 - 0;Stabæk;C More Fotball
12.04.2015;2. runde;Tippeligaen;Viking;3 - 1;Tromsø;C More Live 2
12.04.2015;2. runde;Tippeligaen;Start;2 - 1;Sandefjord;C More Live 3
12.04.2015;2. runde;OBOS-ligaen;Bærum;1 - 1;Follo;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Hønefoss;1 - 2;Bryne;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Jerv;0 - 0;Sogndal;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Levanger;0 - 2;Kristiansund BK;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Nest-Sotra;2 - 3;Åsane;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Ranheim;1 - 1;Sandnes Ulf;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Bærum;1 - 1;Follo;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Hønefoss;1 - 2;Bryne;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Jerv;0 - 0;Sogndal;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Levanger;0 - 2;Kristiansund BK;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Nest-Sotra;2 - 3;Åsane;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Ranheim;1 - 1;Sandnes Ulf;C SPORTS
13.04.2015;2. runde;OBOS-ligaen;Hødd;1 - 1;Fredrikstad;TV 2 Zebra
13.04.2015;2. runde;OBOS-ligaen;Brann;2 - 0;Strømmen;C More Fotball
13.04.2015;2. runde;OBOS-ligaen;Hødd;1 - 1;Fredrikstad;TV 2 Zebra
13.04.2015;2. runde;OBOS-ligaen;Brann;2 - 0;Strømmen;C More Fotball
17.04.2015;3. runde;Tippeligaen;Vålerenga;2 - 0;Haugesund;TV 2 Zebra
18.04.2015;3. runde;Tippeligaen;Mjøndalen;1 - 1;Start;C More Fotball
18.04.2015;3. runde;Tippeligaen;Rosenborg;1 - 1;Strømsgodset;C More Fotball
19.04.2015;3. runde;Tippeligaen;Bodø/Glimt;2 - 4;Odd;C More Fotball
19.04.2015;3. runde;Tippeligaen;Molde;5 - 1;Aalesund;TV 2
19.04.2015;3. runde;Tippeligaen;Stabæk;1 - 0;Viking;C More Fotball
19.04.2015;3. runde;Tippeligaen;Tromsø;1 - 1;Lillestrøm;C More Live 2
19.04.2015;3. runde;Tippeligaen;Sandefjord;1 - 0;Sarpsborg 08;C More Live 3
19.04.2015;3. runde;OBOS-ligaen;Bryne;2 - 2;Ranheim;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Follo;2 - 1;Jerv;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Kristiansund BK;0 - 1;Åsane;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Sandnes Ulf;3 - 1;Nest-Sotra;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Sogndal;2 - 1;Hønefoss;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Strømmen;3 - 1;Bærum;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Bryne;2 - 2;Ranheim;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Follo;2 - 1;Jerv;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Kristiansund BK;0 - 1;Åsane;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Sandnes Ulf;3 - 1;Nest-Sotra;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Sogndal;2 - 1;Hønefoss;C SPORTS
19.04.2015;3. runde;OBOS-ligaen;Strømmen;3 - 1;Bærum;C SPORTS
20.04.2015;3. runde;OBOS-ligaen;Hødd;3 - 0;Brann;TV 2 Zebra
20.04.2015;3. runde;OBOS-ligaen;Fredrikstad;2 - 2;Levanger;C More Fotball
20.04.2015;3. runde;OBOS-ligaen;Hødd;3 - 0;Brann;TV 2 Zebra
20.04.2015;3. runde;OBOS-ligaen;Fredrikstad;2 - 2;Levanger;C More Fotball
24.04.2015;4. runde;Tippeligaen;Start;2 - 3;Vålerenga;TV 2 Zebra
25.04.2015;4. runde;Tippeligaen;Odd;2 - 2;Mjøndalen;C More Fotball
25.04.2015;4. runde;Tippeligaen;Viking;1 - 4;Rosenborg;C More Fotball
26.04.2015;4. runde;Tippeligaen;Aalesund;0 - 2;Tromsø;C More Fotball
26.04.2015;4. runde;Tippeligaen;Haugesund;0 - 0;Molde;TV 2
26.04.2015;4. runde;Tippeligaen;Strømsgodset;3 - 2;Sandefjord;C More Fotball
26.04.2015;4. runde;Tippeligaen;Lillestrøm;0 - 2;Stabæk;C More Live 2
26.04.2015;4. runde;Tippeligaen;Sarpsborg 08;2 - 2;Bodø/Glimt;C More Live 3
26.04.2015;4. runde;OBOS-ligaen;Bærum;4 - 0;Hødd;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Kristiansund BK;2 - 1;Strømmen;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Levanger;0 - 0;Sandnes Ulf;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Nest-Sotra;1 - 2;Sogndal;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Ranheim;0 - 1;Follo;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Åsane;2 - 2;Bryne;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Bærum;4 - 0;Hødd;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Kristiansund BK;2 - 1;Strømmen;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Levanger;0 - 0;Sandnes Ulf;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Nest-Sotra;1 - 2;Sogndal;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Ranheim;0 - 1;Follo;C SPORTS
26.04.2015;4. runde;OBOS-ligaen;Åsane;2 - 2;Bryne;C SPORTS
27.04.2015;4. runde;OBOS-ligaen;Jerv;2 - 2;Brann;C More Fotball
27.04.2015;4. runde;OBOS-ligaen;Hønefoss;2 - 0;Fredrikstad;TV 2 Zebra
27.04.2015;4. runde;OBOS-ligaen;Jerv;2 - 2;Brann;C More Fotball
27.04.2015;4. runde;OBOS-ligaen;Hønefoss;2 - 0;Fredrikstad;TV 2 Zebra
29.04.2015;5. runde;Tippeligaen;Molde;3 - 1;Strømsgodset;TV 2 Zebra
29.04.2015;5. runde;Tippeligaen;Sarpsborg 08;2 - 0;Odd;C More Fotball
30.04.2015;5. runde;Tippeligaen;Vålerenga;1 - 2;Aalesund;C More Fotball
30.04.2015;5. runde;Tippeligaen;Bodø/Glimt;1 - 2;Haugesund;C More Live
30.04.2015;5. runde;Tippeligaen;Sandefjord;1 - 2;Viking;C More Live 3
30.04.2015;5. runde;Tippeligaen;Tromsø;0 - 2;Stabæk;C More Live 4
30.04.2015;5. runde;Tippeligaen;Rosenborg;3 - 2;Start;TV 2 Zebra
30.04.2015;5. runde;Tippeligaen;Mjøndalen;1 - 4;Lillestrøm;C More Fotball
30.04.2015;5. runde;OBOS-ligaen;Brann;4 - 1;Ranheim;TV 2 Zebra
30.04.2015;5. runde;OBOS-ligaen;Bærum;1 - 0;Hønefoss;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Follo;1 - 1;Nest-Sotra;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Fredrikstad;1 - 1;Åsane;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Hødd;0 - 0;Jerv;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Sandnes Ulf;2 - 1;Kristiansund BK;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Sogndal;1 - 3;Levanger;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Strømmen;2 - 2;Bryne;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Brann;4 - 1;Ranheim;TV 2 Zebra
30.04.2015;5. runde;OBOS-ligaen;Bærum;1 - 0;Hønefoss;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Follo;1 - 1;Nest-Sotra;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Fredrikstad;1 - 1;Åsane;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Hødd;0 - 0;Jerv;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Sandnes Ulf;2 - 1;Kristiansund BK;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Sogndal;1 - 3;Levanger;C SPORTS
30.04.2015;5. runde;OBOS-ligaen;Strømmen;2 - 2;Bryne;C SPORTS
02.05.2015;6. runde;Tippeligaen;Strømsgodset;1 - 1;Sarpsborg 08;C More Fotball
03.05.2015;6. runde;Tippeligaen;Aalesund;2 - 0;Bodø/Glimt;C More Fotball
03.05.2015;6. runde;Tippeligaen;Start;3 - 1;Tromsø;C More Live 2
03.05.2015;6. runde;Tippeligaen;Lillestrøm;1 - 1;Vålerenga;C More Fotball
03.05.2015;6. runde;Tippeligaen;Haugesund;2 - 1;Sandefjord;C More Live 2
03.05.2015;6. runde;Tippeligaen;Stabæk;1 - 0;Mjøndalen;C More Live 3
03.05.2015;6. runde;Tippeligaen;Odd;1 - 2;Rosenborg;TV 2 Zebra
03.05.2015;6. runde;OBOS-ligaen;Nest-Sotra;1 - 0;Fredrikstad;TV 2 Zebra
03.05.2015;6. runde;OBOS-ligaen;Hønefoss;1 - 3;Hødd;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Jerv;0 - 0;Strømmen;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Kristiansund BK;1 - 1;Sogndal;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Levanger;3 - 1;Follo;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Ranheim;0 - 0;Bærum;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Åsane;0 - 0;Sandnes Ulf;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Bryne;0 - 1;Brann;C More Live 2
03.05.2015;6. runde;OBOS-ligaen;Nest-Sotra;1 - 0;Fredrikstad;TV 2 Zebra
03.05.2015;6. runde;OBOS-ligaen;Hønefoss;1 - 3;Hødd;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Jerv;0 - 0;Strømmen;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Kristiansund BK;1 - 1;Sogndal;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Levanger;3 - 1;Follo;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Ranheim;0 - 0;Bærum;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Åsane;0 - 0;Sandnes Ulf;C SPORTS
03.05.2015;6. runde;OBOS-ligaen;Bryne;0 - 1;Brann;C More Live 2
04.05.2015;6. runde;Tippeligaen;Viking;2 - 1;Molde;TV 2 Zebra
09.05.2015;7. runde;Tippeligaen;Mjøndalen;4 - 3;Tromsø;C More Fotball
09.05.2015;7. runde;Tippeligaen;Rosenborg;3 - 0;Lillestrøm;C More Fotball
09.05.2015;7. runde;Tippeligaen;Vålerenga;0 - 2;Stabæk;TV 2 Zebra
09.05.2015;7. runde;OBOS-ligaen;Brann;0 - 0;Sandnes Ulf;TV 2 Zebra
09.05.2015;7. runde;OBOS-ligaen;Strømmen;1 - 0;Hønefoss;C SPORTS
09.05.2015;7. runde;OBOS-ligaen;Brann;0 - 0;Sandnes Ulf;TV 2 Zebra
09.05.2015;7. runde;OBOS-ligaen;Strømmen;1 - 0;Hønefoss;C SPORTS
10.05.2015;7. runde;Tippeligaen;Sandefjord;1 - 3;Aalesund;C More Fotball
10.05.2015;7. runde;Tippeligaen;Viking;1 - 1;Odd;C More Fotball
10.05.2015;7. runde;Tippeligaen;Bodø/Glimt;3 - 5;Strømsgodset;C More Live 2
10.05.2015;7. runde;Tippeligaen;Sarpsborg 08;3 - 0;Haugesund;C More Live 3
10.05.2015;7. runde;Tippeligaen;Molde;4 - 0;Start;TV 2 Zebra
10.05.2015;7. runde;OBOS-ligaen;Fredrikstad;3 - 1;Ranheim;C More Live
10.05.2015;7. runde;OBOS-ligaen;Bærum;3 - 2;Levanger;C SPORTS
10.05.2015;7. runde;OBOS-ligaen;Follo;2 - 3;Kristiansund BK;C SPORTS
10.05.2015;7. runde;OBOS-ligaen;Hødd;3 - 2;Nest-Sotra;C SPORTS
10.05.2015;7. runde;OBOS-ligaen;Jerv;3 - 0;Bryne;C SPORTS
10.05.2015;7. runde;OBOS-ligaen;Sogndal;3 - 0;Åsane;C SPORTS
10.05.2015;7. runde;OBOS-ligaen;Fredrikstad;3 - 1;Ranheim;C More Live
10.05.2015;7. runde;OBOS-ligaen;Bærum;3 - 2;Levanger;C SPORTS
10.05.2015;7. runde;OBOS-ligaen;Follo;2 - 3;Kristiansund BK;C SPORTS
10.05.2015;7. runde;OBOS-ligaen;Hødd;3 - 2;Nest-Sotra;C SPORTS
10.05.2015;7. runde;OBOS-ligaen;Jerv;3 - 0;Bryne;C SPORTS
10.05.2015;7. runde;OBOS-ligaen;Sogndal;3 - 0;Åsane;C SPORTS
12.05.2015;8. runde;Tippeligaen;Mjøndalen;3 - 2;Rosenborg;TV 2 Zebra
12.05.2015;8. runde;Tippeligaen;Tromsø;4 - 5;Vålerenga;C More Fotball
12.05.2015;8. runde;OBOS-ligaen;Hønefoss;0 - 0;Brann;C More Live
12.05.2015;8. runde;OBOS-ligaen;Hønefoss;0 - 0;Brann;C More Live
13.05.2015;8. runde;Tippeligaen;Odd;2 - 0;Strømsgodset;TV 2 Zebra
13.05.2015;8. runde;Tippeligaen;Haugesund;0 - 2;Viking;C More Fotball
13.05.2015;8. runde;Tippeligaen;Lillestrøm;2 - 1;Molde;C More Live
13.05.2015;8. runde;Tippeligaen;Aalesund;2 - 2;Sarpsborg 08;C More Live 2
13.05.2015;8. runde;Tippeligaen;Stabæk;4 - 0;Sandefjord;C More Live 3
13.05.2015;8. runde;Tippeligaen;Start;1 - 1;Bodø/Glimt;C More Live 4
13.05.2015;8. runde;OBOS-ligaen;Bryne;0 - 2;Sogndal;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Kristiansund BK;1 - 1;Jerv;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Levanger;0 - 0;Hødd;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Nest-Sotra;1 - 2;Bærum;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Ranheim;2 - 0;Strømmen;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Åsane;0 - 1;Follo;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Sandnes Ulf;6 - 1;Fredrikstad;TV 2 Sportskanalen
13.05.2015;8. runde;OBOS-ligaen;Bryne;0 - 2;Sogndal;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Kristiansund BK;1 - 1;Jerv;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Levanger;0 - 0;Hødd;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Nest-Sotra;1 - 2;Bærum;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Ranheim;2 - 0;Strømmen;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Åsane;0 - 1;Follo;C SPORTS
13.05.2015;8. runde;OBOS-ligaen;Sandnes Ulf;6 - 1;Fredrikstad;TV 2 Sportskanalen
16.05.2015;9. runde;Tippeligaen;Bodø/Glimt;1 - 0;Tromsø;TV 2 Zebra
16.05.2015;9. runde;Tippeligaen;Vålerenga;4 - 2;Mjøndalen;C More Fotball
16.05.2015;9. runde;Tippeligaen;Rosenborg;5 - 1;Sandefjord;C More Fotball
16.05.2015;9. runde;Tippeligaen;Odd;0 - 0;Haugesund;C More Live
16.05.2015;9. runde;Tippeligaen;Molde;3 - 3;Stabæk;C More Live 2
16.05.2015;9. runde;Tippeligaen;Strømsgodset;3 - 1;Aalesund;C More Live 3
16.05.2015;9. runde;Tippeligaen;Sarpsborg 08;1 - 3;Lillestrøm;C More Live 4
16.05.2015;9. runde;Tippeligaen;Viking;1 - 0;Start;TV 2 Zebra
16.05.2015;9. runde;OBOS-ligaen;Bærum;1 - 4;Bryne;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Follo;2 - 2;Sandnes Ulf;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Brann;2 - 2;Nest-Sotra;TV 2 Zebra
16.05.2015;9. runde;OBOS-ligaen;Fredrikstad;1 - 4;Kristiansund BK;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Hødd;4 - 0;Åsane;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Jerv;2 - 1;Hønefoss;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Sogndal;1 - 0;Ranheim;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Strømmen;2 - 1;Levanger;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Bærum;1 - 4;Bryne;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Follo;2 - 2;Sandnes Ulf;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Brann;2 - 2;Nest-Sotra;TV 2 Zebra
16.05.2015;9. runde;OBOS-ligaen;Fredrikstad;1 - 4;Kristiansund BK;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Hødd;4 - 0;Åsane;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Jerv;2 - 1;Hønefoss;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Sogndal;1 - 0;Ranheim;C SPORTS
16.05.2015;9. runde;OBOS-ligaen;Strømmen;2 - 1;Levanger;C SPORTS
22.05.2015;10. runde;Tippeligaen;Mjøndalen;0 - 3;Molde;TV 2 Zebra
24.05.2015;10. runde;Tippeligaen;Haugesund;4 - 0;Strømsgodset;C More Fotball
25.05.2015;10. runde;Tippeligaen;Tromsø;2 - 2;Odd;C More Fotball
25.05.2015;10. runde;Tippeligaen;Lillestrøm;3 - 0;Bodø/Glimt;C More Live
25.05.2015;10. runde;Tippeligaen;Stabæk;2 - 3;Rosenborg;C More Fotball
25.05.2015;10. runde;Tippeligaen;Aalesund;0 - 4;Viking;C More Live
25.05.2015;10. runde;Tippeligaen;Sandefjord;0 - 3;Vålerenga;TV 2 Zebra
25.05.2015;10. runde;Tippeligaen;Start;1 - 2;Sarpsborg 08;C More Fotball
25.05.2015;10. runde;OBOS-ligaen;Sandnes Ulf;1 - 2;Sogndal;TV 2 Zebra
25.05.2015;10. runde;OBOS-ligaen;Bryne;1 - 4;Hødd;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Fredrikstad;2 - 2;Follo;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Kristiansund BK;0 - 1;Bærum;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Nest-Sotra;1 - 3;Hønefoss;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Ranheim;0 - 1;Jerv;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Åsane;0 - 3;Strømmen;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Sandnes Ulf;1 - 2;Sogndal;TV 2 Zebra
25.05.2015;10. runde;OBOS-ligaen;Bryne;1 - 4;Hødd;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Fredrikstad;2 - 2;Follo;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Kristiansund BK;0 - 1;Bærum;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Nest-Sotra;1 - 3;Hønefoss;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Ranheim;0 - 1;Jerv;C SPORTS
25.05.2015;10. runde;OBOS-ligaen;Åsane;0 - 3;Strømmen;C SPORTS
26.05.2015;10. runde;OBOS-ligaen;Levanger;4 - 1;Brann;C More Fotball
26.05.2015;10. runde;OBOS-ligaen;Levanger;4 - 1;Brann;C More Fotball
29.05.2015;11. runde;Tippeligaen;Odd;1 - 1;Aalesund;TV 2 Zebra
30.05.2015;11. runde;Tippeligaen;Haugesund;0 - 2;Start;C More Fotball
30.05.2015;11. runde;Tippeligaen;Molde;6 - 1;Sandefjord;C More Fotball
31.05.2015;11. runde;Tippeligaen;Strømsgodset;2 - 0;Lillestrøm;C More Fotball
31.05.2015;11. runde;Tippeligaen;Viking;3 - 4;Vålerenga;C More Fotball
31.05.2015;11. runde;Tippeligaen;Sarpsborg 08;0 - 1;Stabæk;C More Live
31.05.2015;11. runde;Tippeligaen;Bodø/Glimt;5 - 1;Mjøndalen;C More Live 2
31.05.2015;11. runde;Tippeligaen;Rosenborg;1 - 1;Tromsø;TV 2 Zebra
31.05.2015;11. runde;OBOS-ligaen;Sogndal;2 - 0;Fredrikstad;C More Live
31.05.2015;11. runde;OBOS-ligaen;Bryne;2 - 1;Sandnes Ulf;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Bærum;3 - 2;Åsane;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Hødd;0 - 1;Kristiansund BK;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Hønefoss;2 - 2;Ranheim;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Jerv;4 - 2;Levanger;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Strømmen;2 - 1;Nest-Sotra;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Sogndal;2 - 0;Fredrikstad;C More Live
31.05.2015;11. runde;OBOS-ligaen;Bryne;2 - 1;Sandnes Ulf;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Bærum;3 - 2;Åsane;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Hødd;0 - 1;Kristiansund BK;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Hønefoss;2 - 2;Ranheim;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Jerv;4 - 2;Levanger;C SPORTS
31.05.2015;11. runde;OBOS-ligaen;Strømmen;2 - 1;Nest-Sotra;C SPORTS
01.06.2015;11. runde;OBOS-ligaen;Brann;2 - 1;Follo;TV 2 Zebra
01.06.2015;11. runde;OBOS-ligaen;Brann;2 - 1;Follo;TV 2 Zebra
05.06.2015;12. runde;Tippeligaen;Tromsø;2 - 0;Molde;TV 2 Zebra
06.06.2015;12. runde;Tippeligaen;Vålerenga;1 - 2;Rosenborg;C More Fotball
